cik,name,tickers,exchanges,entity_type,sic,state_of_incorporation,filing_date,report_date,url,file_size_in_bytes,download_success,download_error,word_count,report_year,original_row_number,reason_type,dedup_action,dedup_rule,accession_number
0001124566,ZIFF DAVIS HOLDINGS INC,,,operating,2721.0,DE,2005-03-25,2004-12-31,https://www.sec.gov/Archives/edgar/data/1124566/000095012305003624/y04580e10vk.htm,1413204,True,,51059.0,2004,75186,,kept,kept_unflagged_or_reason1,0000950123-05-003624
0001582554,"Matinas BioPharma Holdings, Inc.",MTNB,NYSE,operating,2834.0,DE,2024-03-27,2023-12-31,https://www.sec.gov/Archives/edgar/data/1582554/000149315224011493/form10-k.htm,7352553,True,,76687.0,2023,139281,,kept,kept_unflagged_or_reason1,0001493152-24-011493
0001108185,OCCAM NETWORKS INC/DE,,,operating,3576.0,DE,2007-10-16,2006-12-31,https://www.sec.gov/Archives/edgar/data/1108185/000104746907007660/a2180096z10-k.htm,1362449,True,,70944.0,2006,72833,,kept,kept_unflagged_or_reason1,0001047469-07-007660
0000850429,TREDEGAR CORP,TG,NYSE,operating,3350.0,VA,2013-03-01,2012-12-31,https://www.sec.gov/Archives/edgar/data/850429/000119312513086552/d493141d10k.htm,15572723,True,,46771.0,2012,33539,,kept,kept_unflagged_or_reason1,0001193125-13-086552
0001593899,"Atea Pharmaceuticals, Inc.",AVIR,Nasdaq,operating,2834.0,MA,2025-03-06,2024-12-31,https://www.sec.gov/Archives/edgar/data/1593899/000095017025034808/avir-20241231.htm,14616497,True,,92578.0,2024,140718,,kept,kept_unflagged_or_reason1,0000950170-25-034808
0001141240,LIQUIDMETAL TECHNOLOGIES INC,LQMT,OTC,operating,2800.0,DE,2022-03-29,2021-12-31,https://www.sec.gov/Archives/edgar/data/1141240/000143774922007571/lqmt20211231_10k.htm,7272586,True,,39886.0,2021,77754,,kept,kept_unflagged_or_reason1,0001437749-22-007571
0001110647,"OCLARO, INC.",,,operating,3674.0,DE,2018-08-23,2018-06-30,https://www.sec.gov/Archives/edgar/data/1110647/000162828018011325/oclaro10k2018-06x30.htm,12739155,True,,85517.0,2018,73324,,kept,kept_unflagged_or_reason1,0001628280-18-011325
0001308208,"UNIVERSAL LOGISTICS HOLDINGS, INC.",ULH,Nasdaq,operating,4213.0,NV,2016-03-15,2015-12-31,https://www.sec.gov/Archives/edgar/data/1308208/000156459016014848/uacl-10k_20151231.htm,16368965,True,,45571.0,2015,95560,,kept,kept_unflagged_or_reason1,0001564590-16-014848
0001105533,ARGOS THERAPEUTICS INC,,,operating,2834.0,DE,2018-04-02,2017-12-31,https://www.sec.gov/Archives/edgar/data/1105533/000117184318002425/f10k_040218p.htm,10413343,True,,127965.0,2017,72475,,kept,kept_unflagged_or_reason1,0001171843-18-002425
0001169769,MONARCH COMMUNITY BANCORP INC,,,operating,6021.0,MD,2012-03-30,2011-12-31,https://www.sec.gov/Archives/edgar/data/1169769/000119312512142416/d326262d10k.htm,6594994,True,,48495.0,2011,81242,,kept,kept_unflagged_or_reason1,0001193125-12-142416
0001168054,CIMAREX ENERGY CO,,,operating,1311.0,DE,2016-02-23,2015-12-31,https://www.sec.gov/Archives/edgar/data/1168054/000155837016003392/xec-20151231x10k.htm,12802607,True,,48831.0,2015,80792,,kept,kept_unflagged_or_reason1,0001558370-16-003392
0001766101,World Omni Automobile Lease Securitization Trust 2019-A,,,operating,6189.0,DE,2021-03-26,2020-12-31,https://www.sec.gov/Archives/edgar/data/1766101/000110465921042271/tm2110478d2_10k.htm,252821,True,,3632.0,2020,154024,,kept,kept_unflagged_or_reason1,0001104659-21-042271
0001552275,Sunoco LP,SUN,NYSE,operating,2911.0,OK,2020-02-21,2019-12-31,https://www.sec.gov/Archives/edgar/data/1552275/000155227520000007/sun-12312019x10k.htm,17352520,True,,72993.0,2019,135259,,kept,kept_unflagged_or_reason1,0001552275-20-000007
0001340786,"Fuel Systems Solutions, Inc.",,,operating,3714.0,DE,2012-03-08,2011-12-31,https://www.sec.gov/Archives/edgar/data/1340786/000119312512103666/d294742d10k.htm,5626653,True,,46594.0,2011,101507,,kept,kept_unflagged_or_reason1,0001193125-12-103666
